epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.02500000037252903,4.341686248779297,0.01,2.0,-16.4075
1,0.03125,3.843296527862549,0.01,2.25,2.1075
2,0.036249998956918716,3.5034537315368652,0.01,3.75,-2.21
3,0.04125000163912773,3.3637876510620117,0.01,2.25,-21.3225
4,0.03375000134110451,3.320638418197632,0.01,3.5000000000000004,-5.555
5,0.048124998807907104,3.2881767749786377,0.01,3.25,-6.18
6,0.061250001192092896,3.2213873863220215,0.01,5.0,-10.295
7,0.06437499821186066,3.212395668029785,0.01,2.5,-11.0375
8,0.06187500059604645,3.1755685806274414,0.01,5.25,-3.9825
9,0.0625,3.1580443382263184,0.01,5.5,-6.1175
10,0.07999999821186066,3.1150219440460205,0.01,4.25,-2.3725
11,0.04374999925494194,3.32133150100708,0.1,4.75,-9.145
12,0.051249999552965164,3.3326611518859863,0.1,3.5000000000000004,-2.0875
13,0.039374999701976776,3.292593479156494,0.1,6.0,-0.5325
14,0.06937500089406967,3.2457754611968994,0.1,6.25,15.6125
15,0.06499999761581421,3.1518683433532715,0.1,8.75,6.6975
16,0.08250000327825546,3.113943099975586,0.1,5.75,-8.91
17,0.08874999731779099,3.0864856243133545,0.1,10.0,2.5
18,0.10437499731779099,3.0162553787231445,0.1,6.0,-6.8125
19,0.13437500596046448,2.939185380935669,0.1,12.5,-0.3275
20,0.1262499988079071,2.8909926414489746,0.1,10.25,1.58
21,0.16374999284744263,2.8411998748779297,0.1,14.499999999999998,-2.1725
22,0.15062500536441803,2.809081792831421,0.1,13.750000000000002,-0.8925
23,0.1862500011920929,2.802210807800293,0.1,18.25,-0.5125
24,0.18062500655651093,2.7356317043304443,0.1,18.0,0.26
25,0.21312500536441803,2.7125742435455322,0.1,15.75,-0.8975
26,0.20874999463558197,2.6941094398498535,0.1,18.25,-0.0025
27,0.23250000178813934,2.639162540435791,0.1,31.5,-0.12
28,0.21937499940395355,2.6454668045043945,0.1,28.999999999999996,3.8225
29,0.23499999940395355,2.643704414367676,0.1,23.75,1.7175
30,0.24124999344348907,2.580571174621582,0.1,32.25,-0.685
31,0.25312501192092896,2.57460880279541,0.1,36.5,-0.7075
32,0.2762500047683716,2.5028934478759766,0.1,33.0,-2.02
33,0.2750000059604645,2.5062835216522217,0.1,41.5,-2.5
34,0.28312501311302185,2.5117452144622803,0.1,32.25,-0.3375
35,0.29875001311302185,2.4416115283966064,0.1,30.0,0.2275
36,0.2824999988079071,2.466783046722412,0.1,37.5,1.125
37,0.29624998569488525,2.4367570877075195,0.1,38.25,2.4925
38,0.28999999165534973,2.4125800132751465,0.1,28.999999999999996,-0.3375
39,0.3018749952316284,2.404179334640503,0.1,45.75,-2.4125
40,0.34062498807907104,2.3657286167144775,0.1,40.5,-0.82
41,0.3306249976158142,2.3640646934509277,0.1,45.75,0.4225
42,0.3474999964237213,2.354611396789551,0.1,49.75,-0.2875
43,0.33250001072883606,2.3210794925689697,0.1,45.25,-1.5225
44,0.33687499165534973,2.313812017440796,0.1,51.74999999999999,3.52
45,0.33375000953674316,2.3216969966888428,0.1,44.25,3.21
46,0.3606249988079071,2.2553577423095703,0.1,49.5,1.725
47,0.38374999165534973,2.249614715576172,0.1,36.0,-4.505
48,0.37312498688697815,2.234201669692993,0.1,49.5,-2.0425
49,0.3843750059604645,2.2287306785583496,0.1,45.75,0.4975
50,0.38062500953674316,2.218510389328003,0.1,53.5,-2.9875
51,0.39625000953674316,2.1674416065216064,0.1,51.5,0.2375
52,0.3943749964237213,2.1718294620513916,0.1,44.0,-0.24
53,0.40062499046325684,2.156355857849121,0.1,50.74999999999999,0.79
54,0.39750000834465027,2.1509060859680176,0.1,44.75,1.69
55,0.4168750047683716,2.147388458251953,0.1,59.75,0.5175
56,0.38874998688697815,2.1546642780303955,0.1,59.75,-0.03
57,0.40562498569488525,2.1686997413635254,0.1,53.0,2.0575
58,0.41749998927116394,2.130194902420044,0.1,51.5,1.53
59,0.4456250071525574,2.0637457370758057,0.1,58.25,0.37
60,0.4074999988079071,2.108222246170044,0.1,56.99999999999999,-1.4875
61,0.43187499046325684,2.0835154056549072,0.1,45.0,0.135
62,0.41749998927116394,2.109048843383789,0.1,51.74999999999999,-1.3175
63,0.4337500035762787,2.0758204460144043,0.1,61.0,0.9225
64,0.4168750047683716,2.0881874561309814,0.1,62.74999999999999,1.185
65,0.43937501311302185,2.036533832550049,0.1,63.0,0.1975
66,0.4231249988079071,2.06453800201416,0.1,62.25000000000001,-0.4075
67,0.4650000035762787,1.992353916168213,0.1,62.5,-0.1475
68,0.4350000023841858,2.0604751110076904,0.1,51.74999999999999,0.24
69,0.4387499988079071,2.049339771270752,0.1,56.75,2.225
70,0.4568749964237213,2.0105292797088623,0.1,54.50000000000001,2.3875
71,0.4456250071525574,2.026825189590454,0.1,60.25,0.75
72,0.4468750059604645,2.039827823638916,0.1,55.00000000000001,0.795
73,0.4375,2.026503324508667,0.1,59.5,1.0825
74,0.4312500059604645,2.0313408374786377,0.1,61.0,-1.365
75,0.4424999952316284,1.9927438497543335,0.1,59.0,1.125
76,0.4637500047683716,1.976322889328003,0.1,57.49999999999999,-0.7725
77,0.45750001072883606,1.959521770477295,0.1,56.25,-0.175
78,0.46437498927116394,1.9525490999221802,0.1,63.74999999999999,-1.37
79,0.4650000035762787,1.9635909795761108,0.1,66.75,-0.065
80,0.45625001192092896,1.9787541627883911,0.1,62.0,0.6825
81,0.46437498927116394,1.9438080787658691,0.1,65.75,-1.5175
82,0.484375,1.9312760829925537,0.1,61.75000000000001,0.45
83,0.4868749976158142,1.903161883354187,0.1,67.5,-1.595
84,0.4768750071525574,1.9188275337219238,0.1,61.75000000000001,0.545
85,0.46812498569488525,1.930293083190918,0.1,64.25,0.24
86,0.5012500286102295,1.8951159715652466,0.1,64.75,-0.0875
87,0.46812498569488525,1.9280940294265747,0.1,66.75,-0.455
88,0.47874999046325684,1.9033913612365723,0.1,66.5,0.1675
89,0.5037500262260437,1.8525694608688354,0.1,62.25000000000001,1.3825
90,0.4987500011920929,1.8592578172683716,0.1,64.5,1.1125
91,0.5012500286102295,1.8221015930175781,0.1,57.75,1.245
92,0.4975000023841858,1.859493613243103,0.1,59.0,-0.9275
93,0.5149999856948853,1.8576786518096924,0.1,65.25,0.92
94,0.48875001072883606,1.8532867431640625,0.1,65.75,-0.1225
95,0.5174999833106995,1.8064745664596558,0.1,66.0,1.2775
96,0.5093749761581421,1.840385913848877,0.1,70.0,-0.1325
97,0.5118749737739563,1.8090368509292603,0.1,67.5,-0.84
98,0.4831250011920929,1.8750942945480347,0.1,67.0,0.24
99,0.4918749928474426,1.825199842453003,0.1,69.75,-1.425
100,0.5087500214576721,1.8165583610534668,0.1,60.5,-3.7775
101,0.5212500095367432,1.7815338373184204,0.1,68.25,-0.7825
102,0.5393750071525574,1.757761836051941,0.1,66.0,0.3425
103,0.5149999856948853,1.8257173299789429,0.1,72.25,-0.625
104,0.5243750214576721,1.7810765504837036,0.1,72.5,-0.535
105,0.5043749809265137,1.8110369443893433,0.1,65.0,-0.2925
106,0.5087500214576721,1.793115496635437,0.1,65.75,0.35
107,0.5243750214576721,1.7960476875305176,0.1,67.75,-0.5425
108,0.4962500035762787,1.834944248199463,0.1,69.75,-0.84
109,0.515625,1.7638955116271973,0.1,59.75,-0.4925
110,0.5362499952316284,1.7739932537078857,0.1,74.25,0.16
111,0.5368750095367432,1.7504199743270874,0.1,68.0,0.98
112,0.5350000262260437,1.7567781209945679,0.1,65.75,-1.125
113,0.5581250190734863,1.6882309913635254,0.1,69.0,-0.725
114,0.5537499785423279,1.7329840660095215,0.1,71.25,-0.3875
115,0.5456249713897705,1.7164884805679321,0.1,66.75,1.3275
116,0.5387499928474426,1.735976219177246,0.1,73.75,0.1825
117,0.5362499952316284,1.7445510625839233,0.1,63.0,1.82
118,0.5168750286102295,1.7508500814437866,0.1,69.5,0.4775
119,0.5287500023841858,1.7351053953170776,0.1,68.75,-2.66
120,0.5531250238418579,1.7068414688110352,0.1,72.0,-0.1525
121,0.5356249809265137,1.7454578876495361,0.1,71.25,1.22
122,0.5400000214576721,1.7565997838974,0.1,72.75,-0.8775
123,0.5493749976158142,1.7190722227096558,0.1,71.0,0.8725
124,0.5649999976158142,1.6828922033309937,0.1,74.0,-0.76
125,0.5556250214576721,1.6890658140182495,0.1,74.25,0.265
126,0.5581250190734863,1.6616575717926025,0.1,73.25,-0.27
127,0.5606250166893005,1.682828426361084,0.1,66.75,0.205
128,0.5368750095367432,1.7256247997283936,0.1,72.25,-0.4325
129,0.5712500214576721,1.6544280052185059,0.1,73.25,0.3375
